# 汉字 绝对偏移(十六进制)  (从文件头开始)
假 0x0003757C
稼 0x000375FC
价 0x0003767C
架 0x000376FC
驾 0x0003777C
嫁 0x000377FC
歼 0x0003787C
监 0x000378FC
坚 0x0003797C
尖 0x000379FC
笺 0x00037A7C
间 0x00037AFC
煎 0x00037B7C
兼 0x00037BFC
肩 0x00037C7C
艰 0x00037CFC
奸 0x00037D7C
缄 0x00037DFC
茧 0x00037E7C
检 0x00037EFC
柬 0x00037F7C
碱 0x00037FFC
硷 0x0003807C
拣 0x000380FC
捡 0x0003817C
简 0x000381FC
俭 0x0003827C
剪 0x000382FC
减 0x0003837C
荐 0x000383FC
槛 0x0003847C
鉴 0x000384FC
践 0x0003857C
贱 0x000385FC
见 0x0003867C
键 0x000386FC
箭 0x0003877C
件 0x000387FC
健 0x0003887C
舰 0x000388FC
剑 0x0003897C
饯 0x000389FC
渐 0x00038A7C
溅 0x00038AFC
涧 0x00038B7C
建 0x00038BFC
僵 0x00038C7C
姜 0x00038CFC
将 0x00038D7C
浆 0x00038DFC
江 0x00038E7C
疆 0x00038EFC
蒋 0x00038F7C
桨 0x00038FFC
奖 0x0003907C
讲 0x000390FC
匠 0x0003917C
酱 0x000391FC
降 0x0003927C
蕉 0x000392FC
椒 0x0003937C
礁 0x000393FC
焦 0x0003947C
胶 0x000394FC
交 0x0003957C
郊 0x000395FC
浇 0x0003967C
骄 0x000396FC
娇 0x0003977C
嚼 0x000397FC
搅 0x0003987C
铰 0x000398FC
矫 0x0003997C
侥 0x000399FC
脚 0x00039A7C
狡 0x00039AFC
角 0x00039B7C
饺 0x00039BFC
缴 0x00039C7C
绞 0x00039CFC
剿 0x00039D7C
教 0x00039DFC
酵 0x00039E7C
轿 0x00039EFC
较 0x00039F7C
叫 0x00039FFC
窖 0x0003A07C
揭 0x0003A0FC
接 0x0003A17C
皆 0x0003A1FC
秸 0x0003A27C
街 0x0003A2FC
阶 0x0003A37C
截 0x0003A3FC
劫 0x0003A47C
节 0x0003A4FC
桔 0x0003A57C
杰 0x0003A5FC
捷 0x0003A67C
睫 0x0003A6FC
竭 0x0003A77C
洁 0x0003A7FC
结 0x0003A87C
解 0x0003A8FC
姐 0x0003A97C
戒 0x0003A9FC
藉 0x0003AA7C
芥 0x0003AAFC
界 0x0003AB7C
借 0x0003ABFC
介 0x0003AC7C
疥 0x0003ACFC
诫 0x0003AD7C
届 0x0003ADFC
巾 0x0003AE7C
筋 0x0003AEFC
斤 0x0003AF7C
